Tomato Early Blight | Yellow spots on leaves | Use fungicide
Sugarcane Leaf Spot | Brown spots | Fungicide
Sugarcane Wilt | Drying stalks | Resistant varieties

Cotton Leaf Curl Virus | Leaf curling | Control whiteflies
Cotton Boll Rot | Rotting bolls | Improve drainage
Cotton Wilt | Yellowing plants | Resistant varieties
Cotton Alternaria Leaf Spot | Brown spots | Fungicide

Mustard White Rust | White pustules | Fungicide
Mustard Alternaria Blight | Dark spots | Fungicide
Mustard Downy Mildew | Yellow patches | Improve airflow

Sunflower Downy Mildew | Yellow patches | Improve drainage
Sunflower Rust | Brown pustules | Resistant varieties
Sunflower Blight | Leaf lesions | Fungicide

Mango Anthracnose | Black fruit spots | Apply fungicide
Mango Powdery Mildew | White coating | Sulfur spray
Mango Dieback | Drying branches | Prune infected parts
Mango Bacterial Canker | Bark cracks | Copper spray

Banana Panama Disease | Yellowing leaves | Resistant varieties
Banana Leaf Spot | Brown streaks | Remove infected leaves
Banana Bunchy Top Virus | Stunted growth | Remove infected plants
Banana Anthracnose | Fruit spots | Fungicide

Apple Scab | Dark spots on fruit | Apply fungicide
Apple Fire Blight | Blackened branches | Prune infected areas
Apple Powdery Mildew | White coating | Fungicide
Apple Cedar Rust | Orange spots | Remove host plants

Orange Citrus Canker | Raised lesions | Copper spray
Orange Greening Disease | Yellow leaves | Remove infected trees
Orange Anthracnose | Fruit spots | Fungicide

Papaya Leaf Curl | Curling leaves | Control whiteflies
Papaya Ring Spot | Rings on fruit | Remove infected plants
Papaya Anthracnose | Fruit spots | Fungicide

Guava Wilt | Sudden wilting | Soil treatment
Guava Anthracnose | Dark fruit spots | Fungicide

Pomegranate Leaf Spot | Brown spots | Fungicide
Pomegranate Wilt | Drying plant | Soil treatment

Strawberry Powdery Mildew | White powder | Improve airflow
Strawberry Leaf Spot | Purple spots | Fungicide

Watermelon Fusarium Wilt | Wilting vines | Resistant varieties
Watermelon Anthracnose | Dark lesions | Fungicide

Pineapple Heart Rot | Rotting center | Improve drainage
Pineapple Leaf Spot | Brown spots | Fungicide

Coconut Bud Rot | Rotting bud | Remove infected
Coconut Leaf Blight | Yellow lesions | Fungicide

Chili Leaf Curl | Curling leaves | Control insects
Chili Anthracnose | Dark spots | Fungicide
Chili Powdery Mildew | White coating | Improve airflow
Chili Wilt | Drooping plant | Soil treatment

Onion Purple Blotch | Purple lesions | Fungicide
Onion Downy Mildew | Pale patches | Improve airflow
Onion Basal Rot | Root decay | Crop rotation

Brinjal Bacterial Wilt | Wilting plant | Soil treatment
Brinjal Leaf Spot | Brown spots | Fungicide
Brinjal Shoot Borer Damage | Stem holes | Insect control

Okra Yellow Vein Mosaic | Yellow veins | Control insects
Okra Powdery Mildew | White coating | Fungicide
Okra Leaf Spot | Brown spots | Fungicide

Cucumber Downy Mildew | Yellow patches | Improve airflow
Cucumber Powdery Mildew | White coating | Fungicide

Pumpkin Powdery Mildew | White coating | Fungicide
Pumpkin Downy Mildew | Yellow spots | Improve airflow

Beans Rust | Orange pustules | Fungicide
Beans Blight | Leaf damage | Resistant seeds

Carrot Root Rot | Root decay | Improve drainage
Carrot Leaf Spot | Brown spots | Fungicide

Cabbage Black Rot | V-shaped lesions | Disease-free seeds
Cabbage Downy Mildew | Yellow patches | Improve airflow
Cabbage Clubroot | Swollen roots | Soil pH control

Cauliflower Black Rot | Yellow lesions | Disease-free seeds
Cauliflower Downy Mildew | Pale patches | Improve airflow

Spinach Downy Mildew | Yellow patches | Improve airflow
Spinach Leaf Spot | Brown spots | Fungicide

Pea Powdery Mildew | White coating | Fungicide
Pea Blight | Leaf spots | Fungicide
Pea Wilt | Drooping plant | Soil treatment

Broccoli Downy Mildew | Yellow patches | Improve airflow
Broccoli Black Rot | V-shaped lesions | Disease-free seeds

Beetroot Leaf Spot | Brown spots | Fungicide
Beetroot Root Rot | Root decay | Improve drainage

Garlic White Rot | Root rot | Crop rotation
Garlic Rust | Orange spots | Fungicide

Lettuce Downy Mildew | Yellow patches | Improve airflow
Lettuce Leaf Spot | Brown spots | Fungicide

Zucchini Powdery Mildew | White coating | Fungicide
Zucchini Downy Mildew | Yellow spots | Improve airflow
